Thumb,Index,Middle,Ring,Pinky,GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,Gesture
123,138,134,122,145,-0.00901026,0.01634065,-0.01053743,-0.9427721,0.88414795,4.72343181,0
123,138,134,122,145,-0.0065668,0.01679879,-0.01084286,-0.94995057,0.89252283,4.71984258,0
123,138,134,122,145,-0.00397062,0.01786781,-0.01023199,-0.96670033,0.89371924,4.73778875,0
123,138,134,122,145,-0.00366519,0.01634065,-0.01084286,-0.95832545,0.88773718,4.76291339,0
123,138,134,122,145,-0.00580322,0.01802052,-0.00962113,-0.94755775,0.89132642,4.77128826,0
123,138,134,122,145,-0.00778853,0.01695151,-0.01053743,-0.95114698,0.89730847,4.74496722,0
123,138,134,122,145,-0.00901026,0.0158825,-0.01007928,-0.94755775,0.8997013,4.72941387,0
123,138,134,122,145,-0.00809396,0.01725694,-0.01099557,-0.95593263,0.89850489,4.72462822,0
123,138,134,122,145,-0.00473421,0.01756238,-0.01023199,-0.96909315,0.89371924,4.7641098,0
123,138,134,122,144,-0.00473421,0.01649336,-0.00962113,-0.96191469,0.90209412,4.75573492,0
123,138,134,122,145,-0.00931569,0.01542435,-0.01023199,-0.95353981,0.89252283,4.74018157,0
123,138,134,122,145,-0.00885755,0.01557706,-0.01038471,-0.93918287,0.89491565,4.72343181,0
123,138,134,122,145,-0.00458149,0.01649336,-0.00992656,-0.94995057,0.8889336,4.71864617,0
123,138,134,122,145,-0.00320704,0.01725694,-0.00946841,-0.96909315,0.89013001,4.74975286,0
123,138,134,122,145,-0.00397062,0.01557706,-0.01007928,-0.95952186,0.89132642,4.76052056,0
123,138,134,122,145,-0.0056505,0.01618793,-0.01053743,-0.94516493,0.87816589,4.73419951,0
123,138,134,122,145,-0.00412334,0.01710423,-0.00962113,-0.95593263,0.89013001,4.72821746,0
123,138,134,122,145,-0.00442877,0.01710423,-0.01099557,-0.93798646,0.88773718,4.75334209,0
123,138,134,122,145,-0.00458149,0.01756238,-0.01038471,-0.95353981,0.8889336,4.75812774,0
123,138,134,122,145,-0.0065668,0.01695151,-0.00977384,-0.96071827,0.89252283,4.77248468,0
123,138,134,122,145,-0.00870483,0.01634065,-0.01084286,-0.94516493,0.8889336,4.75094927,0
123,138,134,122,145,-0.00946841,0.01542435,-0.01069014,-0.94875416,0.89371924,4.73419951,0
123,138,134,122,145,-0.00610865,0.01756238,-0.00962113,-0.94875416,0.91405823,4.71744976,0
123,138,134,122,145,-0.00442877,0.01710423,-0.01023199,-0.96430751,0.90209412,4.76530621,0
123,138,134,122,145,-0.00442877,0.01542435,-0.00992656,-0.96670033,0.89371924,4.75334209,0
123,138,134,122,145,-0.00931569,0.01634065,-0.01069014,-0.95234339,0.88773718,4.74018157,0
123,138,134,122,145,-0.0065668,0.01527163,-0.01007928,-0.94755775,0.8997013,4.7222354,0
123,138,134,122,145,-0.00473421,0.01695151,-0.01053743,-0.94995057,0.89132642,4.73180669,0
123,138,134,122,145,-0.00320704,0.01786781,-0.01038471,-0.96071827,0.89371924,4.75453851,0
123,138,134,122,145,-0.00473421,0.01786781,-0.01007928,-0.94995057,0.89132642,4.76530621,0
123,138,134,122,145,-0.00824668,0.01634065,-0.01023199,-0.95593263,0.90089771,4.76650262,0
123,138,134,122,145,-0.00427606,0.01664608,-0.01038471,-0.94516493,0.89611206,4.73539593,0
123,138,134,122,145,-0.00381791,0.01710423,-0.01114829,-0.95353981,0.88295154,4.75214568,0
123,138,134,122,145,-0.00458149,0.01664608,-0.01023199,-0.95353981,0.89371924,4.7641098,0
123,138,134,122,145,-0.00717767,0.01695151,-0.01069014,-0.9631111,0.89013001,4.76052056,0
123,138,134,122,145,-0.00916298,0.0158825,-0.01053743,-0.94157569,0.88414795,4.7437708,0
123,138,134,122,145,-0.00778853,0.01542435,-0.01038471,-0.95234339,0.8997013,4.7222354,0
123,138,134,122,145,-0.00641409,0.01634065,-0.01007928,-0.97028956,0.89850489,4.72462822,0
123,138,134,122,145,-0.00351248,0.01679879,-0.01023199,-0.95593263,0.89611206,4.73061028,0
123,138,134,122,145,-0.00473421,0.01786781,-0.01053743,-0.9631111,0.89611206,4.76291339,0
123,138,134,122,145,-0.0065668,0.01618793,-0.01053743,-0.94875416,0.88654077,4.76769903,0
123,138,134,122,145,-0.00794125,0.01695151,-0.01038471,-0.94755775,0.89013001,4.71864617,0
123,138,134,122,145,-0.00931569,0.01695151,-0.01053743,-0.95353981,0.89611206,4.73778875,0
123,138,134,122,145,-0.00397062,0.01679879,-0.00992656,-0.95353981,0.88534436,4.77009185,0
123,138,134,122,145,-0.00610865,0.01786781,-0.01007928,-0.95952186,0.89013001,4.76650262,0
123,138,134,122,145,-0.00778853,0.01603521,-0.00962113,-0.94995057,0.88654077,4.76291339,0
123,138,134,122,145,-0.00916298,0.01542435,-0.01007928,-0.94995057,0.88534436,4.7330031,0
123,138,134,122,145,-0.00809396,0.01618793,-0.01007928,-0.96071827,0.89850489,4.7222354,0
123,138,134,122,145,-0.00534507,0.01679879,-0.00992656,-0.95832545,0.90209412,4.76291339,0
123,138,134,122,145,-0.00381791,0.0158825,-0.01023199,-0.9631111,0.89491565,4.76052056,0
123,138,134,122,145,-0.00916298,0.0158825,-0.01069014,-0.95114698,0.89132642,4.74137798,0
123,138,134,122,145,-0.0083994,0.01557706,-0.01053743,-0.93918287,0.89730847,4.72343181,0
123,138,134,122,145,-0.00534507,0.01695151,-0.01023199,-0.95712904,0.89013001,4.73539593,0
123,138,134,122,145,-0.00427606,0.01756238,-0.01023199,-0.95473622,0.8889336,4.74975286,0
123,138,134,122,144,-0.00442877,0.01725694,-0.00977384,-0.95353981,0.89252283,4.77248468,0
123,138,134,122,145,-0.00626137,0.01695151,-0.00977384,-0.94636134,0.88773718,4.76769903,0
