,delta_ms,prev_delta_ms,gyr_x,gyr_y,gyr_z,accel_x,accel_y,accel_z,f1,f2,f3,f4,f5
0,0.0,0,-0.005345,0.017715,-0.010385,-0.01004985492,0.005096712138,0.04773681087,122,135,131,122,138
1,34.394,34,-0.006109,0.017104,-0.009621,-0.010229316615,0.005204389155,0.047605205627,122,135,132,122,138
2,64.955,30,-0.005956,0.016952,-0.009468,-0.010109675485,0.005096712138,0.047856452,122,135,131,122,138
3,95.051,30,-0.001222,0.017868,-0.008705,-0.010061819033000002,0.005132604477,0.047916272565,122,135,131,122,138
4,125.024,29,-0.006261,0.016035,-0.009468,-0.010157531937,0.00490528633,0.047976093129999994,122,135,131,122,138
5,151.63,26,-0.008552,0.015119,-0.009927,-0.010169496049999999,0.005036891573,0.047832523774000005,122,135,132,122,138
6,174.60500000000002,22,-0.005040,0.016646,-0.009468,-0.010205388389000002,0.0051206403639999995,0.047844487887,122,135,131,122,138
7,198.264,23,-0.007636,0.017257,-0.010232,-0.010289137180000001,0.005060819799,0.047641097965999996,122,135,132,122,138
8,221.238,22,-0.001680,0.018937,-0.009163,-0.010157531937,0.005180460929000001,0.047700918531,122,135,132,122,138
9,245.088,23,-0.005192,0.019242,-0.010537,-0.010217352502000001,0.005048855686,0.047712882644,122,135,131,122,138
10,270.01399999999995,24,-0.005040,0.016952,-0.009774,-0.010121639598,0.0051924250419999995,0.04761716974000001,122,135,131,122,138
11,293.72700000000003,23,-0.003971,0.018631,-0.009621,-0.010061819033000002,0.0050847480249999995,0.04773681087,122,135,131,122,138
12,316.52599999999995,22,-0.009163,0.015730,-0.010232,-0.010085747259,0.005108676251000001,0.047904308452000006,122,135,132,122,138
13,340.263,23,-0.005651,0.016493,-0.010232,-0.010073783146,0.005132604477,0.047856452,122,135,131,122,138
14,364.788,24,-0.009316,0.015119,-0.009621,-0.010193424276,0.005168496816,0.048059841921000004,122,135,131,122,138
15,388.5,23,-0.007330,0.014508,-0.009774,-0.010157531937,0.005060819799,0.047916272565,122,135,131,122,138
16,412.275,23,-0.005956,0.017104,-0.009621,-0.010193424276,0.005072783912000001,0.047832523774000005,122,135,131,122,138
17,435.753,23,-0.002749,0.018173,-0.009621,-0.010073783146,0.005048855686,0.047988057243,122,135,131,122,138
18,460.603,24,-0.004123,0.018631,-0.009927,-0.010169496049999999,0.005108676251000001,0.047605205627,122,135,132,122,138
19,484.332,23,-0.005803,0.017868,-0.009774,-0.010181460163,0.005132604477,0.047808595548,122,135,131,122,138
20,508.194,23,-0.003665,0.018326,-0.009010,-0.010145567824000001,0.005240281494,0.047581277401,122,135,131,122,138
21,532.2280000000001,24,-0.007941,0.016952,-0.010385,-0.010193424276,0.0050847480249999995,0.04761716974000001,122,135,132,122,138
22,559.37,27,-0.004276,0.018479,-0.010232,-0.010121639598,0.005012963347,0.047688954418,122,135,131,122,138
23,582.992,23,-0.005040,0.017715,-0.009621,-0.010073783146,0.005060819799,0.047712882644,122,135,131,122,138
24,606.614,23,-0.006720,0.015882,-0.009774,-0.010121639598,0.0050847480249999995,0.047844487887,122,135,131,122,138
25,631.261,24,-0.005498,0.017410,-0.010232,-0.010001998468,0.004965106894999999,0.047928236677999995,122,135,131,122,138
26,656.182,24,-0.007941,0.014813,-0.009927,-0.010157531937,0.0050847480249999995,0.047928236677999995,122,135,131,122,138
27,680.513,24,-0.006414,0.016646,-0.009621,-0.010037890807,0.004965106894999999,0.047880380226,122,135,131,122,138
28,704.686,24,-0.007789,0.015119,-0.009927,-0.010181460163,0.005096712138,0.047820559661,122,135,131,122,138
29,728.6850000000001,23,-0.006872,0.014661,-0.010079,-0.010277173067,0.005132604477,0.048000021356,122,135,132,122,138
30,752.4929999999999,23,-0.005956,0.017104,-0.010690,-0.010277173067,0.0051565327029999995,0.047784667322,122,135,132,122,138
31,775.307,22,-0.003971,0.017868,-0.009774,-0.010145567824000001,0.005180460929000001,0.047832523774000005,122,135,132,122,138
32,798.1709999999999,22,-0.003971,0.018326,-0.010079,-0.010205388389000002,0.005276173833,0.047629133853,122,135,132,122,138
33,822.134,23,-0.005651,0.017715,-0.009774,-0.010109675485,0.005060819799,0.047772703209000004,122,135,131,122,138
34,845.708,23,-0.003818,0.017868,-0.010232,-0.010085747259,0.005060819799,0.047605205627,122,135,132,122,138
35,869.519,23,-0.008399,0.015882,-0.010537,-0.010133603711000002,0.005096712138,0.048011985469000006,122,135,131,122,138
36,893.365,23,-0.005803,0.016646,-0.009774,-0.010133603711000002,0.005060819799,0.047856452,122,135,132,122,138
37,918.63,25,-0.008552,0.015119,-0.010232,-0.010109675485,0.005012963347,0.047988057243,122,135,131,122,138
38,942.283,23,-0.009774,0.014050,-0.010079,-0.010001998468,0.0050847480249999995,0.047952164904,122,136,132,122,138
39,965.736,23,-0.004887,0.017257,-0.009927,-0.010181460163,0.005168496816,0.047772703209000004,122,135,131,122,138
40,989.398,23,-0.005956,0.016799,-0.009621,-0.010121639598,0.005072783912000001,0.047964129017,122,135,131,122,138
41,1013.085,23,-0.002443,0.017562,-0.009010,-0.010265208954,0.005168496816,0.047641097965999996,122,135,132,122,138
42,1038.042,24,-0.006414,0.017104,-0.010690,-0.010133603711000002,0.0050847480249999995,0.047868416112999995,122,135,132,122,138
43,1061.592,23,-0.004123,0.017562,-0.009774,-0.010097711372,0.005204389155,0.047569313288,122,135,131,122,138
44,1084.2160000000001,22,-0.006567,0.019395,-0.010232,-0.010109675485,0.0050847480249999995,0.047688954418,122,135,131,122,138
45,1108.111,23,-0.004581,0.018784,-0.010385,-0.010109675485,0.00502492746,0.047676990305,122,135,131,122,138
46,1132.009,23,-0.006567,0.014508,-0.009468,-0.010133603711000002,0.00502492746,0.047904308452000006,122,135,131,122,138
47,1156.4669999999999,24,-0.003818,0.018173,-0.009774,-0.010037890807,0.005000999234,0.047772703209000004,122,135,131,122,138
48,1183.2640000000001,26,-0.009163,0.014050,-0.010385,-0.009966106129,0.005060819799,0.047844487887,122,135,131,122,138
49,1207.221,23,-0.005040,0.015882,-0.008858,-0.010145567824000001,0.005012963347,0.047916272565,122,135,131,122,138
50,1231.943,24,-0.009010,0.015424,-0.009316,-0.010193424276,0.005048855686,0.047808595548,122,135,131,122,138
51,1255.6480000000001,23,-0.005956,0.016035,-0.009316,-0.010133603711000002,0.005204389155,0.047976093129999994,122,135,131,122,138
52,1280.511,24,-0.006109,0.016799,-0.010232,-0.010205388389000002,0.005048855686,0.048000021356,122,135,131,122,138
53,1304.231,23,-0.005956,0.016646,-0.010079,-0.010205388389000002,0.0051565327029999995,0.047724846757000006,122,135,131,122,138
54,1328.077,23,-0.005345,0.017410,-0.010079,-0.010085747259,0.005036891573,0.048000021356,122,135,131,122,138
55,1351.503,23,-0.003818,0.017715,-0.010232,-0.010205388389000002,0.0051565327029999995,0.047700918531,122,135,131,122,138
56,1375.335,23,-0.005803,0.018021,-0.009468,-0.010013962581,0.0051206403639999995,0.047808595548,122,135,132,122,138
57,1399.128,23,-0.005345,0.018173,-0.009927,-0.010085747259,0.005060819799,0.047724846757000006,122,135,131,122,138
58,1423.5720000000001,24,-0.007025,0.016799,-0.009774,-0.01004985492,0.005012963347,0.047916272565,122,135,131,122,138
59,1447.339,23,-0.005498,0.018631,-0.010537,-0.010145567824000001,0.005060819799,0.047712882644,122,135,131,122,138
60,1471.1970000000001,23,-0.007330,0.014813,-0.009621,-0.010133603711000002,0.005048855686,0.047940200791000004,122,135,132,122,138
61,1495.1779999999999,23,-0.007483,0.016493,-0.009774,-0.010037890807,0.005144568590000001,0.047916272565,122,135,131,122,138
